"log_prob","rule"
-9.30858268363,"LEX  _will"
-9.30860030276,"LEX  _bowl"
-6.26864622471,"LEX  _cut"
-3.19149433118,"LEX  _have"
-4.99010229222,"LEX  _take"
-14.3634727476,"LEX  _dash"
-8.58719831245,"LEX  _firm"
-14.3634727476,"LEX  _tip"
-9.28344196199,"LEX  _settle"
-5.72138107284,"LEX  _work"
-7.21415183299,"LEX  _blow"
-14.3634727476,"LEX  _blast"
-9.32142087751,"LEX  _pop"
-6.3109671747,"LEX  _hear"
-6.90263918357,"LEX  _break"
-9.2649800563,"LEX  _smoke"
-14.3634727476,"LEX  _Boston"
-12.0615093948,"LEX  _for"
-8.60910832723,"LEX  _attach"
-5.77626838194,"LEX  _past"
-8.63475064415,"LEX  _press"
-9.30225113084,"LEX  _unbuckle"
-12.754587474,"LEX  _that"
-9.2959420167,"LEX  _break_dance"
-7.10432891778,"LEX  _try"
-9.2649800563,"LEX  _untie"
-5.05258955136,"LEX  _know"
-14.3634727476,"LEX  _fund"
-8.63800266491,"LEX  _bake"
-14.3634727476,"LEX  _roast"
-9.32142087751,"LEX  _screw"
-14.3634727476,"LEX  _juggle"
-14.3634727476,"LEX  _knit"
-9.30860030276,"LEX  _pay"
-9.7014027754,"LEX  _mail"
-7.68023886786,"LEX  _color"
-14.3634727476,"LEX  _chase"
-2.96198972256,"LEX  _go"
-14.3634727476,"LEX  _may"
-13.2653209701,"LEX  _out"
-8.1245750284,"LEX  _love"
-7.69789636566,"LEX  _fly"
-13.2653209701,"LEX  _top"
-13.6706709305,"LEX  _party"
-14.3634727476,"LEX  _crack"
-14.3634727476,"LEX  _back"
-7.69155520144,"LEX  _climb"
-14.3634727476,"LEX  _behind"
-14.3634727476,"LEX  _freeze"
-8.21424920025,"LEX  _understand"
-9.37440821758,"LEX  _kiss"
-8.60910832723,"LEX  _float"
-14.3634727476,"LEX  _from"
-14.3634727476,"LEX  _unscrew"
-9.27725004478,"LEX  _ski"
-9.31499004438,"LEX  _lay"
-5.27464520011,"LEX  _present"
-13.2653209701,"LEX  _dress"
-14.3634727476,"LEX  _movie"
-9.31499004438,"LEX  _die"
-8.20787300185,"LEX  _feed"
-9.30225113084,"LEX  _offer"
-14.3634727476,"LEX  _onto"
-4.17716621451,"LEX  _make"
-14.3634727476,"LEX  _through"
-5.88142449815,"LEX  _look"
-6.76595342149,"LEX  _throw"
-9.3344079564,"LEX  _owe"
-14.3634727476,"LEX  _bury"
-12.4186484285,"LEX  _dig"
-11.273152554,"LEX  _on"
-14.3634727476,"LEX  _rip"
-7.81806653043,"LEX  _change"
-14.3634727476,"LEX  _wrestle"
-14.3634727476,"LEX  _enjoy"
-14.3634727476,"LEX  _flash"
-4.00616012138,"LEX  _see"
-8.2099938872,"LEX  _clean"
-9.2649800563,"LEX  _hammer"
-9.30860030276,"LEX  _babysitted"
-14.3634727476,"LEX  _bump"
-1.97034607437,"LEX  _do"
-12.754863908,"LEX  _wanT"
-8.19733117784,"LEX  _wait"
-5.13903477068,"LEX  _need"
-3.58783787736,"LEX  _say"
-14.3634727476,"LEX  _shall"
-9.30225113084,"LEX  _swallow"
-6.76095625977,"LEX  _count"
-14.3634727476,"LEX  _print"
-9.34096529747,"LEX  _develop"
-14.3634727476,"LEX  _down"
-9.28967245805,"LEX  _pelt"
-6.15120165266,"LEX  _ask"
-8.20787153668,"LEX  _fight"
-8.59652959973,"LEX  _end"
-7.51049895654,"LEX  _jump"
-7.52217015943,"LEX  _pour"
-7.46714787901,"LEX  _fall"
-9.32142087751,"LEX  _snap"
-9.2959420167,"LEX  _chew"
-12.2846356703,"LEX  _to"
-6.92294575751,"LEX  _stay"
-14.3634727476,"LEX  _reach"
-8.12448740766,"LEX  _non-finite"
-9.2959420167,"LEX  _string"
-7.11421842425,"LEX  _remember"
-7.207893702,"LEX  _let"
-6.28029122346,"LEX  _draw"
-7.23876597673,"LEX  _stop"
-9.27725004478,"LEX  _rid"
-6.70426782734,"LEX  _keep"
-14.3634727476,"LEX  _check"
-11.7256987983,"LEX  _crawl"
-2.61992029388,"LEX  _UNK"
-6.26075481635,"LEX  _sing"
-7.46613828993,"LEX  _stick"
-14.3634727476,"LEX  _cancel"
-9.32789333408,"LEX  _scar"
-9.32789333408,"LEX  _imagine"
-9.34096529747,"LEX  _wunning"
-7.90651338258,"LEX  _touch"
-5.86297814959,"LEX  _buy"
-8.2099938872,"LEX  _serve"
-14.3634727476,"LEX  _'ve"
-7.87412823505,"LEX  _walk"
-8.61545752703,"LEX  _burn"
-14.3634727476,"LEX  _frighten"
-7.94485773699,"LEX  _fold"
-9.32142087751,"LEX  _slam"
-14.3634727476,"LEX  _interest"
-6.90321373068,"LEX  _name"
-5.01623129554,"LEX  _think"
-8.19943415783,"LEX  _spill"
-9.3344079564,"LEX  _complain"
-4.69512867835,"LEX  _like"
-9.27725004478,"LEX  _wipe"
-9.28967245805,"LEX  _advertise"
-9.32142087751,"LEX  _peek"
-11.5915748716,"LEX  _with"
-14.3634727476,"LEX  _until"
-6.66365411136,"LEX  _feel"
-14.3634727476,"LEX  _whisper"
-5.44647157969,"LEX  _use"
-5.02788146836,"LEX  _tell"
-9.31499004438,"LEX  _recover"
-8.81966666769,"LEX  _shoot"
-6.66727894315,"LEX  _drive"
-8.60910613875,"LEX  _figure"
-6.99714503563,"LEX  _win"
-9.30860030276,"LEX  _twist"
-7.91438231061,"LEX  _mix"
-7.70555922487,"LEX  _tear"
-7.50209555795,"LEX  _save"
-8.05311634332,"LEX  _dump"
-7.97965702016,"LEX  _visit"
-11.9666453476,"LEX  _mean"
-9.23491937475,"LEX  _at"
-9.34096074776,"LEX  _hook"
-9.32142087751,"LEX  _scratch"
-7.22519238813,"LEX  _shave"
-9.12832467422,"LEX  _null"
-8.62184729689,"LEX  _send"
-14.3634727476,"LEX  _order"
-7.50628843013,"LEX  _knock"
-14.3634727476,"LEX  _they"
-7.7967721499,"LEX  _could"
-13.6706709305,"LEX  _smile"
-9.28967245805,"LEX  _squeeze"
-7.91122774074,"LEX  _laugh"
-0.971533529354,"LEX  _be"
-7.97796512025,"LEX  _suppose"
-14.3634727476,"LEX  _unwind"
-6.90263918357,"LEX  _drop"
-7.2125844371,"LEX  _forget"
-14.3634727476,"LEX  _wind"
-7.12779390155,"LEX  _sleep"
-6.83223055857,"LEX  _wake"
-7.3446617374,"LEX  _carry"
-14.3634727476,"LEX  _those"
-3.50180637192,"LEX  _get"
-14.3634727476,"LEX  _bring"
-14.3634727476,"LEX  _scoot"
-9.28344196199,"LEX  _remove"
-14.3634727476,"LEX  _spell"
-13.6706709305,"LEX  _handle"
-7.10926217836,"LEX  _pull"
-5.75307795141,"LEX  _play"
-4.11243718953,"LEX  _put"
-8.59029692913,"LEX  _dream"
-9.31499004438,"LEX  _race"
-9.24684454112,"LEX  _bet"
-6.06830788011,"LEX  _live"
-6.36786311579,"LEX  _cook"
-9.30860030276,"LEX  _tape"
-6.91245166429,"LEX  _happen"
-7.23475530027,"LEX  _hide"
-6.52848406429,"LEX  _ride"
-7.67401006312,"LEX  _fix"
-11.3202336902,"LEX  _hope"
-11.3202666191,"LEX  _wan"
-14.3634727476,"LEX  _waste"
-10.4329208105,"LEX  _about"
-9.28344196199,"LEX  _cool"
-12.4181547233,"LEX  _come"
-9.30225113084,"LEX  _charge"
-14.3634727476,"LEX  _roll"
-9.28967245805,"LEX  _raise"
-8.28950411731,"LEX  _park"
-8.61864730832,"LEX  _sneeze"
-7.72236631313,"LEX  _listen"
-9.31499004438,"LEX  _decide"
-12.9776964764,"LEX  _might"
-14.3634727476,"LEX  _close"
-9.32789333408,"LEX  _Ernie"
-14.3634727476,"LEX  _scoop"
-8.29180560331,"LEX  _kill"
-14.3634727476,"LEX  _cross"
-9.32789333408,"LEX  _recognize"
-9.2649800563,"LEX  _fish"
-14.3634727476,"LEX  _underneath"
-9.2959420167,"LEX  _wave"
-7.52217015943,"LEX  _lose"
-9.29593766729,"LEX  _dance"
-8.33898059179,"LEX  _help"
-7.10152384643,"LEX  _stand"
-9.2959420167,"LEX  _box"
-8.2099938872,"LEX  _sell"
-14.3634727476,"LEX  _rock"
-13.6706709305,"LEX  _turn"
-8.19733552727,"LEX  _bounce"
-9.30225113084,"LEX  _spread"
-8.60910832723,"LEX  _transcribe"
-14.3634727476,"LEX  _punch"
-8.62827815862,"LEX  _bite"
-6.813141976,"LEX  _hit"
-9.75966398513,"LEX  _over"
-9.2649800563,"LEX  _sign"
-8.64453860635,"LEX  _step"
-12.1669390165,"LEX  _of"
-13.2653209701,"LEX  _saw"
-5.71540578372,"LEX  _find"
-4.16847363776,"LEX  _want"
-14.3634727476,"LEX  _dare"
-14.3634727476,"LEX  _watch"
-14.3634727476,"LEX  _meet"
-7.6752539283,"LEX  _hang"
-8.04768648612,"LEX  _tie"
-7.51684744078,"LEX  _belong"
-4.22172066021,"LEX  _call"
-9.34096074776,"LEX  _move"
-9.30225113084,"LEX  _thank"
-12.1674766716,"LEX  _wrap"
-7.98642521175,"LEX  _fee"
-8.20575660514,"LEX  _ca"
-14.3634727476,"LEX  _spend"
-7.943230401,"LEX  _paint"
-9.3344079564,"LEX  _rest"
-7.8987080425,"LEX  _slide"
-9.2959420167,"LEX  _provide"
-9.28967245805,"LEX  _mark"
-13.2653209701,"LEX  _allow"
-7.5200379656,"LEX  _swim"
-14.3634727476,"LEX  _cough"
-13.6706709305,"LEX  _promise"
-7.12420423204,"LEX  _build"
-8.61227788809,"LEX  _begin"
-7.5189698926,"LEX  _should"
-6.99462253401,"LEX  _hold"
-7.69155520144,"LEX  _fell"
-11.5315195407,"LEX  _wear"
-14.3634727476,"LEX  _speak"
-9.20578769514,"LEX  _marry"
-14.3634727476,"LEX  _peel"
-6.48480567058,"LEX  _pick"
-6.82158083849,"LEX  _grow"
-12.9776964764,"LEX  _'d"
-7.50523783713,"LEX  _taste"
-8.62505755827,"LEX  _set"
-12.5722889504,"LEX  _write"
-14.3634727476,"LEX  _squeak"
-8.27807547568,"LEX  _teach"
-5.21481109886,"NP  _UNK _with"
-2.92097980514,"NP  _part PP"
-6.53027940741,"NP  LEX _on"
-2.19170464687,"NP  _work"
-7.89125596055,"NP  LEX _UNK"
-2.90105015685,"NP  _Boston"
-1.47147821125,"NP  _that"
-2.87508048608,"NP  _top"
-7.85846613773,"NP  LEX"
-5.21481109886,"NP  _party PP"
-2.29024476393,"NP  _top _of"
-6.53027940741,"NP  _UNK _UNK"
-4.36882471407,"NP  _UNK"
-2.75997752726,"NP  _picture PP"
-6.79264367188,"NP  _UNK PP"
-2.1504988831,"NP  _they"
-2.88798102086,"NP  _movie PP"
-2.89449423872,"NP  _those"
-5.15041593662,"NP  _top LEX"
-4.09576677138,"NP  LEX _of"
-2.99765398322,"NP  _party _with"
-11.2924533422,"NP  LEX PP"
-11.2924533422,"NP  LEX VP"
-7.89125596055,"NP  _study _on"
-7.89125596055,"NP  LEX LEX"
-5.07030991386,"PP  _under"
-7.14018159014,"PP  _on NP"
-3.21194527594,"PP  _in"
-8.52595893272,"PP  _into"
-10.8223605639,"PP  _to NP"
-5.7293249641,"PP  _without"
